DateTime,AddedIPs,RemovedIPs
1591830318,0,8
1591830616,5,0
1591832116,0,3
1591833918,1,0
1591834217,4,0
1591837516,4,0
1591837817,4,0
1591841117,1,0
1591848318,1,0
1591851916,2,0
1591852216,2,0
1591853120,16,0
1591859117,0,1
1591860317,2,0
1591862717,1,0
1591863920,4,0
1591866018,0,8
1591866317,1,12
1591867518,1,0
1591869918,1,2
1591873519,0,1
1591873817,1,0
1591877416,1,0
1591880720,1,0
1591884316,0,1
1591889416,17,0
1591890616,0,1
1591891517,0,6
1591895120,0,3
1591898717,0,2
1591905917,1,0
1591906817,0,1
1591909517,39,0
1591909817,67,0
1591913118,5,0
1591913416,23,0
1591914916,0,2
1591916717,4,0
1591917017,13,0
1591920316,1,0
1591920617,6,0
1591923916,2,0
1591924216,1,0
1591927816,0,1
1591931116,2,1
1591935017,3,0
1591939522,8,0
1591942217,1,0
1591943123,6,0
1591944916,1,0
1591945518,0,2
1591946718,4,0
1591949116,0,1
1591949416,2,0
1591950317,1,0
1591952717,0,1
1591953016,1,0
1591953918,0,9
1591954216,0,1
1591956615,1,0
1591959918,1,0
1591963816,1,0
1591964118,1,0
1591964718,1,0
1591967119,0,3
1591970720,2,1
1591974316,1,0
1591977917,0,1
1591978516,0,5
1591981518,0,2
1591981818,1,0
1591995917,1,2
1591999517,0,1
1591999820,1,0
1592003117,0,2
1592006418,1,0
1592010318,0,1
1592014516,1,0
1592021118,1,0
1592024718,0,1
1592025017,1,0
1592026817,4,0
1592027118,3,0
1592028318,0,1
1592029218,0,1
1592029523,13,0
1592031917,0,1
1592033118,1,0
1592035517,35,1
1592035816,72,0
1592036717,2,0
1592039117,10,1
1592039418,8,0
1592042719,4,1
1592043017,6,0
1592043918,1,0
1592046317,2,0
1592046617,2,0
1592046917,1,0
1592047518,3,0
1592049918,1,0
1592050217,1,0
1592051118,1,0
1592053519,1,3
1592053817,2,0
1592057117,1,1
1592060717,1,3
1592061918,60,0
1592064319,1,0
1592064617,6,0
1592065518,3,0
1592067915,0,1
1592068217,0,6
1592071818,1,0
1592075119,1,0
1592079917,10,0
1592082616,1,0
1592089518,1,0
1592093416,2,0
1592094317,1,0
1592096717,52,0
1592097016,115,0
1592098816,1,0
1592099119,18,0
1592100316,8,0
1592100616,25,0
1592103917,2,0
1592104216,5,0
1592107517,1,0
1592107816,10,0
1592111417,7,0
1592114716,2,1
1592115017,5,0
1592115922,18,0
1592118320,2,1
1592118615,2,0
1592119517,8,0
1592121917,2,0
1592122216,2,0
1592123119,2,0
1592125516,1,1
1592125816,1,0
1592126716,1,2
1592129416,2,0
1592130316,1,0
1592132717,2,0
1592133018,1,0
1592136317,0,2
1592140216,5,0
1592141117,1,0
1592143518,0,1
1592148320,1,0
1592150417,0,2
1592150717,0,3
1592151019,2,0
1592154319,0,1
1592154615,2,0
1592158216,1,0
1592166017,10,0
1592166319,28,0
1592172616,1,0
1592175918,0,1
1592179816,1,0
1592183717,2,0
1592186717,1,1
1592193920,0,1
1592195119,11,0
1592201718,1,0
1592205016,2,0
1592208317,0,1
1592209217,0,1
1592210719,9,0
1592212217,1,0
1592215517,0,2
1592219117,58,0
1592219418,40,0
1592222717,7,1
1592223018,13,0
1592223318,1,0
1592226317,6,2
1592226618,7,0
1592229918,2,2
1592230217,3,0
1592233517,0,1
1592234416,8,0
1592237116,2,2
1592237717,5,0
1592240717,0,2
1592241018,5,0
1592244316,0,1
1592244916,3,0
1592247918,1,1
1592248216,1,0
1592251517,1,0
1592252118,1,0
1592255117,1,0
1592255418,1,0
1592258718,1,0
1592259018,1,0
1592262318,2,0
1592262617,2,0
1592263216,9,0
1592263517,8,0
1592269816,1,0
1592273117,1,0
1592276718,1,1
1592280317,1,0
1592281816,2,0
1592282116,14,0
1592284217,1,0
1592285121,14,0
1592287517,1,0
1592288722,14,3
1592289019,0,2
1592292317,3,0
1592293217,8,0
1592294716,2,0
1592295016,1,0
1592295918,1,0
1592298617,1,0
1592302817,0,2
1592303419,0,1
1592305817,1,0
1592306716,1,0
1592309416,1,0
1592309717,1,0
1592313017,1,0
1592314817,25,0
1592315117,18,0
1592316317,35,3
1592316617,36,0
1592316917,1,2
1592317817,1,0
1592319917,4,2
1592320217,5,0
1592321117,6,0
1592323217,1,0
1592323518,3,0
1592323818,7,0
1592327119,1,0
1592328316,1,0
1592330720,1,1
1592334316,0,1
1592334616,1,0
1592337916,2,0
1592338217,2,0
1592341818,4,0
1592345120,1,3
1592348719,0,1
1592349017,3,0
1592352616,2,0
1592355920,2,1
1592356216,1,0
1592359818,1,0
1592363118,1,1
1592367618,51,0
1592368516,10,0
1592368818,3,0
1592370318,0,1
1592370621,3,0
1592374217,1,0
1592375418,20,0
1592377520,0,1
1592378717,5,0
1592381118,1,1
1592381417,1,0
1592382317,5,0
1592384716,0,2
1592385919,2,0
1592388318,42,1
1592388617,86,0
1592391919,3,2
1592392218,17,0
1592393118,1,0
1592394915,0,2
1592395217,0,4
1592395518,2,0
1592395817,11,0
1592397019,143,0
1592399120,0,1
1592399417,5,0
1592399718,1,0
1592403016,3,0
1592404217,4,0
1592406317,2,1
1592406617,3,0
1592409917,1,3
1592411119,3,0
1592414717,40,0
1592415617,0,2
1592417116,0,2
1592420717,1,1
1592421317,9,0
1592424616,2,0
1592427918,1,0
1592428516,1,0
1592435117,0,2
1592438718,0,1
1592439016,1,0
1592442318,0,1
1592442916,1,0
1592445917,2,1
1592449517,1,1
1592453416,1,0
1592457922,4,0
1592460316,0,1
1592460617,1,0
1592461523,7,0
1592463920,2,2
1592467518,1,1
1592467816,1,0
1592471118,1,0
1592472317,1,0
1592475018,1,0
1592476818,32,2
1592478318,0,1
1592481918,0,1
1592483119,1,0
1592485518,0,1
1592489418,1,0
1592490616,0,1
1592492718,0,1
1592493017,2,0
1592496321,0,1
1592496916,7,0
1592497518,1,0
1592500817,5,0
1592502017,1,0
1592502615,1,0
1592504418,2,0
1592507121,0,2
1592507717,1,0
1592510718,0,1
1592511317,7,0
1592514317,46,0
1592514618,226,0
1592515216,1,0
1592517917,6,0
1592518219,66,0
1592518816,1,0
1592521518,1,0
1592521818,16,0
1592522417,1,0
1592525116,2,1
1592525716,6,0
1592526017,6,0
1592526318,1,0
1592528716,2,0
1592529016,6,0
1592529617,1,0
1592529917,1,0
1592532316,0,1
1592532616,2,0
1592533217,1,0
1592535917,1,0
1592536216,5,0
1592536518,4,0
1592539518,0,1
1592539817,1,0
1592540417,2,0
1592543119,1,0
1592543417,3,0
1592544016,2,0
1592544320,9,0
1592547016,0,2
1592547922,10,0
1592550319,1,1
1592551216,1,0
1592551517,2,0
1592554216,1,0
1592554817,1,0
1592555116,2,0
1592557218,1,0
1592557817,1,0
1592558416,4,0
1592558719,1,0
1592561118,0,1
1592561716,1,0
1592562017,1,0
1592562319,1,0
1592565616,1,0
1592565918,1,0
1592568616,1,0
1592569217,2,0
1592571918,0,3
1592572216,3,0
1592576417,1,0
1592576717,1,0
1592579716,3,0
1592580318,2,0
1592582719,0,1
1592583918,1,0
1592586317,0,2
1592586615,1,0
1592587216,4,0
1592589918,0,1
1592590816,1,0
1592593520,29,1
1592593817,100,0
1592594416,1,0
1592597118,8,1
1592597417,17,0
1592597719,2,0
1592598318,0,3
1592600720,2,0
1592601017,11,0
1592604617,4,0
1592605217,1,0
1592608216,4,0
